,id,name,host_id,neighbourhood_group_cleansed,zipcode,latitude,longitude,room_type,bedrooms,square_feet,price,number_of_reviews,review_scores_rating,accommodates,bathrooms,beds,host_total_listings_count
3,12738047,clean and tidy separated livingroom,21492250,Manhattan,10025,40.799973194858076,-73.96529305720057,Shared room,1.0,,80.0,0,,2,1.0,1.0,1.0
4,15359479,Awesome One Bedroom Gramercy Park,5460788,Manhattan,10003,40.735916070081075,-73.98629624272066,Entire home/apt,1.0,,200.0,1,100.0,4,1.0,1.0,1.0
6,810483,"Beautiful, central,sunny, quiet  shared apt",4260966,Manhattan,10009,40.729934384450104,-73.97982872276891,Private room,1.0,,119.0,1,89.0,1,1.0,1.0,2.0
7,7364064,VERY Spacious 3BR in East Village,37241813,Manhattan,10009,40.733109449497725,-73.97927747146298,Entire home/apt,3.0,,2000.0,0,,6,1.0,3.0,1.0
8,9854420,Beautiful one bedroom in Soho,33889947,Manhattan,10014,40.727672912988574,-74.00343915053894,Entire home/apt,1.0,,200.0,14,88.0,2,1.0,1.0,1.0
9,4349358,Spacious UWS Apt. by Central Park,4158981,Manhattan,10023,40.77474357696061,-73.97886257893609,Private room,1.0,,125.0,96,89.0,2,1.5,1.0,1.0
12,1465807,Park Views! Upper Manhattan 1BR,7812791,Manhattan,10040,40.85936021600991,-73.93134775180238,Entire home/apt,1.0,550.0,79.0,0,,2,1.0,1.0,1.0
13,11165126,The Best Of UNION SQUARE & CHELSEA,1997269,Manhattan,10011,40.738693780505045,-73.99264299874018,Entire home/apt,1.0,,245.0,19,95.0,2,1.0,2.0,1.0
14,16014791,Nice clean style apt. Central midtwn near Javits,801883,Manhattan,10001,40.75536393950484,-73.999498232472,Private room,1.0,,110.0,4,100.0,4,1.0,1.0,1.0
16,7344066,Gorgeous West Village 1-bdm apt,6573741,Manhattan,10014,40.73222266412426,-74.00287217635899,Entire home/apt,1.0,,250.0,19,89.0,2,1.0,1.0,1.0
20,11296173,Lovely NYC Apartment  July 16-30,21722916,Manhattan,10028,40.77687391268141,-73.95153550162586,Entire home/apt,2.0,,400.0,0,,4,1.0,2.0,1.0
22,15097255,Luxury 1 Br in Luxury Doorman Building,59514978,Manhattan,10006,40.70877240810181,-74.01463194671743,Private room,1.0,,190.0,0,,2,1.0,1.0,2.0
23,3562906,HighRise Studio-Walk 2 Times Square,17090214,Manhattan,10019,40.7663258560539,-73.99098395729544,Shared room,1.0,,100.0,9,85.0,1,1.0,1.0,1.0
24,8699290,Private Room Great Area,45670064,Manhattan,10029,40.792881483342704,-73.93926622891378,Private room,1.0,,60.0,2,90.0,2,1.0,1.0,1.0
25,1072481,Bedroom for two in Chelsea,5479559,Manhattan,10011,40.74573369375143,-73.99712432270026,Private room,1.0,,80.0,109,90.0,2,1.0,1.0,1.0
28,9198992,Modern NY apt in the East Village!,15560695,Manhattan,10009,40.72484884279018,-73.97886279280971,Entire home/apt,1.0,,149.0,3,100.0,2,1.0,1.0,1.0
33,661847,Perfect Studio apt with Roof Deck,3341663,Manhattan,10002,40.71966919429229,-73.98706659317803,Entire home/apt,1.0,,110.0,93,81.0,3,1.0,2.0,1.0
34,12082561,Luxurious Chelsea 2-bed apartment,64755990,Manhattan,10001,40.74976227784129,-73.99693743658169,Entire home/apt,2.0,,375.0,3,93.0,4,1.0,3.0,1.0
35,15097204,Great Location & price 欢迎中国客人,35491550,Manhattan,10002,40.718823982552436,-73.98488173962673,Private room,1.0,,75.0,14,90.0,2,1.0,1.0,1.0
36,14835065,West Village Apartment near Washington Square Park,77722758,Manhattan,10011,40.732930162234304,-73.99845843868299,Private room,1.0,,200.0,1,100.0,4,1.0,1.0,1.0
38,14572907,Best Utility Quiet East Village Sunny Bedroom!,90292720,Manhattan,10009,40.7296144109649,-73.98142198569464,Private room,1.0,,85.0,20,87.0,2,1.0,1.0,1.0
40,13393255,Beautiful alcove studio in Chelsea neighborhood,16535261,Manhattan,,40.75152889093183,-73.99681220673561,Entire home/apt,0.0,,206.0,16,98.0,3,1.0,1.0,1.0
41,1334633,Meatpacking District Large Loft,7125872,Manhattan,10014,40.738960855610316,-74.00522448720842,Entire home/apt,1.0,,250.0,4,90.0,2,1.0,1.0,1.0
43,15359314,Design Friendly Soho Private Room,42731661,Manhattan,10012,40.72179268755317,-73.99581943966842,Private room,1.0,,125.0,2,100.0,1,1.0,1.0,1.0
44,1989972,Cozy & Nice Bedroom in an Apt/NYC.,10262420,Manhattan,10029,40.78813366584785,-73.94494655781554,Private room,1.0,,60.0,4,95.0,2,1.0,2.0,1.0
48,677162,Welcoming Room in Morningside Hghts,3442084,Manhattan,10025,40.80679572220264,-73.96773028460905,Private room,1.0,,99.0,57,98.0,1,,1.0,1.0
49,261869,Bright & Spacious Apartment in LES,664859,Manhattan,10002,40.72087491440736,-73.98802125022628,Entire home/apt,1.0,,140.0,78,97.0,3,0.5,2.0,1.0
